,Plate,Plate Number,Well,Prefraction,Plate Notes,Well Notes,384_Plate,384_Plate Number,384_Well,384_Prefraction,384_Plate Notes,384_Well Notes
0,RLUS_96_1799_1811,37,A02,RLUS-1799A,null,,RLUS_384_1799_1850,10,A03,RLUS-1799A,null,
1,RLUS_96_1799_1811,37,A03,RLUS-1799B,null,,RLUS_384_1799_1850,10,A05,RLUS-1799B,null,
2,RLUS_96_1799_1811,37,A04,RLUS-1799C,null,,RLUS_384_1799_1850,10,A07,RLUS-1799C,null,
3,RLUS_96_1799_1811,37,A05,RLUS-1799D,null,,RLUS_384_1799_1850,10,A09,RLUS-1799D,null,
4,RLUS_96_1799_1811,37,A06,RLUS-1799E,null,,RLUS_384_1799_1850,10,A11,RLUS-1799E,null,
5,RLUS_96_1799_1811,37,A07,RLUS-1799F,null,,RLUS_384_1799_1850,10,A13,RLUS-1799F,null,
6,RLUS_96_1799_1811,37,A08,RLUS-1800A,null,,RLUS_384_1799_1850,10,A15,RLUS-1800A,null,
7,RLUS_96_1799_1811,37,A09,RLUS-1800B,null,,RLUS_384_1799_1850,10,A17,RLUS-1800B,null,
8,RLUS_96_1799_1811,37,A10,RLUS-1800C,null,,RLUS_384_1799_1850,10,A19,RLUS-1800C,null,
9,RLUS_96_1799_1811,37,A11,RLUS-1800D,null,,RLUS_384_1799_1850,10,A21,RLUS-1800D,null,
10,RLUS_96_1799_1811,37,B02,RLUS-1800E,null,,RLUS_384_1799_1850,10,C03,RLUS-1800E,null,
11,RLUS_96_1799_1811,37,B03,RLUS-1800F,null,,RLUS_384_1799_1850,10,C05,RLUS-1800F,null,
12,RLUS_96_1799_1811,37,B04,RLUS-1801A,null,,RLUS_384_1799_1850,10,C07,RLUS-1801A,null,
13,RLUS_96_1799_1811,37,B05,RLUS-1801B,null,,RLUS_384_1799_1850,10,C09,RLUS-1801B,null,
14,RLUS_96_1799_1811,37,B06,RLUS-1801C,null,,RLUS_384_1799_1850,10,C11,RLUS-1801C,null,
15,RLUS_96_1799_1811,37,B07,RLUS-1801D,null,,RLUS_384_1799_1850,10,C13,RLUS-1801D,null,
16,RLUS_96_1799_1811,37,B08,RLUS-1801E,null,,RLUS_384_1799_1850,10,C15,RLUS-1801E,null,
17,RLUS_96_1799_1811,37,B09,RLUS-1801F,null,,RLUS_384_1799_1850,10,C17,RLUS-1801F,null,
18,RLUS_96_1799_1811,37,B10,RLUS-1802A,null,,RLUS_384_1799_1850,10,C19,RLUS-1802A,null,
19,RLUS_96_1799_1811,37,B11,RLUS-1802B,null,,RLUS_384_1799_1850,10,C21,RLUS-1802B,null,
20,RLUS_96_1799_1811,37,C02,RLUS-1802C,null,,RLUS_384_1799_1850,10,E03,RLUS-1802C,null,
21,RLUS_96_1799_1811,37,C03,RLUS-1802D,null,,RLUS_384_1799_1850,10,E05,RLUS-1802D,null,
22,RLUS_96_1799_1811,37,C04,RLUS-1802E,null,,RLUS_384_1799_1850,10,E07,RLUS-1802E,null,
23,RLUS_96_1799_1811,37,C05,RLUS-1802F,null,,RLUS_384_1799_1850,10,E09,RLUS-1802F,null,
24,RLUS_96_1799_1811,37,C06,RLUS-1803A,null,,RLUS_384_1799_1850,10,E11,RLUS-1803A,null,
25,RLUS_96_1799_1811,37,C07,RLUS-1803B,null,,RLUS_384_1799_1850,10,E13,RLUS-1803B,null,
26,RLUS_96_1799_1811,37,C08,RLUS-1803C,null,,RLUS_384_1799_1850,10,E15,RLUS-1803C,null,
27,RLUS_96_1799_1811,37,C09,RLUS-1803D,null,,RLUS_384_1799_1850,10,E17,RLUS-1803D,null,
28,RLUS_96_1799_1811,37,C10,RLUS-1803E,null,,RLUS_384_1799_1850,10,E19,RLUS-1803E,null,
29,RLUS_96_1799_1811,37,C11,RLUS-1803F,null,,RLUS_384_1799_1850,10,E21,RLUS-1803F,null,
30,RLUS_96_1799_1811,37,D02,RLUS-1804A,null,,RLUS_384_1799_1850,10,G03,RLUS-1804A,null,
31,RLUS_96_1799_1811,37,D03,RLUS-1804B,null,,RLUS_384_1799_1850,10,G05,RLUS-1804B,null,
32,RLUS_96_1799_1811,37,D04,RLUS-1804C,null,,RLUS_384_1799_1850,10,G07,RLUS-1804C,null,
33,RLUS_96_1799_1811,37,D05,RLUS-1804D,null,,RLUS_384_1799_1850,10,G09,RLUS-1804D,null,
34,RLUS_96_1799_1811,37,D06,RLUS-1804E,null,,RLUS_384_1799_1850,10,G11,RLUS-1804E,null,
35,RLUS_96_1799_1811,37,D07,RLUS-1804F,null,,RLUS_384_1799_1850,10,G13,RLUS-1804F,null,
36,RLUS_96_1799_1811,37,D08,RLUS-1805A,null,,RLUS_384_1799_1850,10,G15,RLUS-1805A,null,
37,RLUS_96_1799_1811,37,D09,RLUS-1805B,null,,RLUS_384_1799_1850,10,G17,RLUS-1805B,null,
38,RLUS_96_1799_1811,37,D10,RLUS-1805C,null,,RLUS_384_1799_1850,10,G19,RLUS-1805C,null,
39,RLUS_96_1799_1811,37,D11,RLUS-1805D,null,,RLUS_384_1799_1850,10,G21,RLUS-1805D,null,
40,RLUS_96_1799_1811,37,E02,RLUS-1805E,null,,RLUS_384_1799_1850,10,I03,RLUS-1805E,null,
41,RLUS_96_1799_1811,37,E03,RLUS-1805F,null,,RLUS_384_1799_1850,10,I05,RLUS-1805F,null,
42,RLUS_96_1799_1811,37,E04,RLUS-1806A,null,,RLUS_384_1799_1850,10,I07,RLUS-1806A,null,
43,RLUS_96_1799_1811,37,E05,RLUS-1806B,null,,RLUS_384_1799_1850,10,I09,RLUS-1806B,null,
44,RLUS_96_1799_1811,37,E06,RLUS-1806C,null,,RLUS_384_1799_1850,10,I11,RLUS-1806C,null,
45,RLUS_96_1799_1811,37,E07,RLUS-1806D,null,,RLUS_384_1799_1850,10,I13,RLUS-1806D,null,
46,RLUS_96_1799_1811,37,E08,RLUS-1806E,null,,RLUS_384_1799_1850,10,I15,RLUS-1806E,null,
47,RLUS_96_1799_1811,37,E09,RLUS-1806F,null,,RLUS_384_1799_1850,10,I17,RLUS-1806F,null,
48,RLUS_96_1799_1811,37,E10,RLUS-1807A,null,,RLUS_384_1799_1850,10,I19,RLUS-1807A,null,
49,RLUS_96_1799_1811,37,E11,RLUS-1807B,null,,RLUS_384_1799_1850,10,I21,RLUS-1807B,null,
50,RLUS_96_1799_1811,37,F02,RLUS-1807C,null,,RLUS_384_1799_1850,10,K03,RLUS-1807C,null,
51,RLUS_96_1799_1811,37,F03,RLUS-1807D,null,,RLUS_384_1799_1850,10,K05,RLUS-1807D,null,
52,RLUS_96_1799_1811,37,F04,RLUS-1807E,null,,RLUS_384_1799_1850,10,K07,RLUS-1807E,null,
53,RLUS_96_1799_1811,37,F05,RLUS-1807F,null,,RLUS_384_1799_1850,10,K09,RLUS-1807F,null,
54,RLUS_96_1799_1811,37,F06,RLUS-1808A,null,,RLUS_384_1799_1850,10,K11,RLUS-1808A,null,
55,RLUS_96_1799_1811,37,F07,RLUS-1808B,null,,RLUS_384_1799_1850,10,K13,RLUS-1808B,null,
56,RLUS_96_1799_1811,37,F08,RLUS-1808C,null,,RLUS_384_1799_1850,10,K15,RLUS-1808C,null,
57,RLUS_96_1799_1811,37,F09,RLUS-1808D,null,,RLUS_384_1799_1850,10,K17,RLUS-1808D,null,
